category,categoryEn,subCategory,subCategoryEn,subSubCategory,subSubCategoryEn,name,nameEn,description,descriptionEn,Quantity,price
Getränke,Drinks,Extras,Extras,,,Sahne,Cream,,,—,1
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Coca Cola,Coca Cola,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Coca Cola,Coca Cola,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Coca Cola Zero,Coca Cola Zero,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Coca Cola Zero,Coca Cola Zero,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Fanta,Fanta,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Fanta,Fanta,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Fuze Ice Tea Zitrone,Fuze Iced Tea Lemon,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Fuze Ice Tea Zitrone,Fuze Iced Tea Lemon,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Sprite,Sprite,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Sprite,Sprite,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Tafelwasser,Table Water,Still / Medium,Still / Medium,0.5l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Tafelwasser,Table Water,Still / Medium,Still / Medium,0.75l,4.5
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Apollinaris Wasser,Apollinaris Water,Still / Medium,Still / Medium,0.25l,3.6
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Apollinaris Wasser,Apollinaris Water,Still / Medium,Still / Medium,0.75l,7.1
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Churchill,Churchill,Sparkling water with lemon and salt,Sparkling water with lemon and salt,0.3l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Churchill,Churchill,Sparkling water with lemon and salt,Sparkling water with lemon and salt,0.5l,4.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Veltins Fassbrause,Veltins Malt Drink,Mango Maracuja / Pink Grapefruit,Mango Passionfruit / Pink Grapefruit,0.33l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Rauch Eistee,Rauch Iced Tea,Pfirsich / Granatapfel,Peach / Pomegranate,0.33l,4.2
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Goldberg,Goldberg,Bitter Lemon / Ginger Ale / Wild Berry / Tonic / Pink Grapefruit,Bitter Lemon / Ginger Ale / Wild Berry / Tonic / Pink Grapefruit,0.2l,3.9
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Red Bull,Red Bull,,,0.25l,4.8
Kaltgetränke,Cold Drinks,Soft Drinks,Soft Drinks,,,Red Bull Purple Berry,Red Bull Purple Berry,,,0.25l,5.2
Kaltgetränke,Cold Drinks,Juice,Juice,,,Saft,Juice,Orange / Banana / Cherry / Apple / Passionfruit,Orange / Banana / Cherry / Apple / Passionfruit,0.3l,4.9
Kaltgetränke,Cold Drinks,Juice,Juice,,,Alle Säfte als Schorle,All Juices as Spritzer,,,0.3l,4.9
Kaltgetränke,Cold Drinks,Smoothie,Smoothie,,,Acai Berry,Acai Berry,"Acai, Strawberry, Blueberry, Mango","Acai, Strawberry, Blueberry, Mango",—,6.9
Kaltgetränke,Cold Drinks,Smoothie,Smoothie,,,Grasshopper,Grasshopper,"Pineapple, Banana, Spinach, Mango","Pineapple, Banana, Spinach, Mango",—,6.9
Kaltgetränke,Cold Drinks,Smoothie,Smoothie,,,Sunshine,Sunshine,"Peach, Passionfruit, Mango","Peach, Passionfruit, Mango",—,6.9
Kaltgetränke,Cold Drinks,Milkshake,Milkshake,,,Milkshake,Milkshake,Alle Eissorten als Milkshake,All ice cream flavors as milkshake,—,4.9
Kaltgetränke,Cold Drinks,Aperetiv ohne Alkohol,Alcohol-Free Aperitif,,,Laori No. 1,Laori No. 1,Virgin Tonic / Basil Smash,Virgin Tonic / Basil Smash,0.2l,9.9
Kaltgetränke,Cold Drinks,Aperetiv ohne Alkohol,Alcohol-Free Aperitif,,,Laori No. 2,Laori No. 2,Dark & Stormy / Daiquiri,Dark & Stormy / Daiquiri,0.2l,9.9
Kaltgetränke,Cold Drinks,Aperetiv ohne Alkohol,Alcohol-Free Aperitif,,,Bella Spritz,Bella Spritz,,,0.2l,7.8
Kaltgetränke,Cold Drinks,Aperetiv ohne Alkohol,Alcohol-Free Aperitif,,,Bella Limoncello Spritz,Bella Limoncello Spritz,,,0.2l,8.2
Kaltgetränke,Cold Drinks,Wein,Wine,Weißwein,White Wine,IL Mio Chardonnay,IL Mio Chardonnay,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Wein,Wine,Weißwein,White Wine,Arrogant Frog Chardonnay,Arrogant Frog Chardonnay,,,0.2l,6.9
Kaltgetränke,Cold Drinks,Wein,Wine,Weißwein,White Wine,Ellermann S. Grauburgunder,Ellermann S. Pinot Gris,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Wein,Wine,Weißwein,White Wine,IL Mio Chardonnay,IL Mio Chardonnay,,,1l,27.9
Kaltgetränke,Cold Drinks,Wein,Wine,Weißwein,White Wine,Weinschorle,Wine Spritzer," +1,00€ für Schorle",+ €1 for spritzer,—,1
Kaltgetränke,Cold Drinks,Wein,Wine,Rotwein,Red Wine,IL Mio Primitivo,IL Mio Primitivo,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Wein,Wine,Rotwein,Red Wine,Arrogant Frog C. Sauvignon Merlot,Arrogant Frog Cabernet Sauvignon Merlot,,,0.2l,6.9
Kaltgetränke,Cold Drinks,Wein,Wine,Roséwein,Rosé Wine,IL Mio Rosato,IL Mio Rosato,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Wein,Wine,Roséwein,Rosé Wine,Arrogant Frog Rosé,Arrogant Frog Rosé,,,0.2l,6.9
Kaltgetränke,Cold Drinks,Wein,Wine,Wein Flasche,Wine Bottle,IL Mio alle Sorten,IL Mio (all varieties),,,1l,27.9
Kaltgetränke,Cold Drinks,Wein,Wine,Wein Flasche,Wine Bottle,Arrogant alle Sorten,Arrogant (all varieties),,,0.7l,22.9
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Veltins,Veltins,Pils / Cola / Alster / Radler,Pils / Cola / Shandy / Radler,0.3l,3.9
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Veltins,Veltins,Pils / Cola / Alster / Radler,Pils / Cola / Shandy / Radler,0.5l,5.5
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Püllecken,Püllecken,,,0.3l,3.9
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Püllecken,Püllecken,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Grevensteiner,Grevensteiner,,,0.2l,3.3
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Grevensteiner,Grevensteiner,,,0.5l,5.5
Kaltgetränke,Cold Drinks,Bier,Beer,Vom Fass,On Tap,Maisels,Maisel’s,Helles Weizen / Banane / Kirsch,Light Wheat / Banana / Cherry,0.5l,5.3
Kaltgetränke,Cold Drinks,Bier,Beer,Alkoholfrei,Alcohol-Free,Veltins Alkoholfrei,Veltins Non-Alcoholic,(Flasche),(Bottle),0.33l,3.9
Kaltgetränke,Cold Drinks,Bier,Beer,Alkoholfrei,Alcohol-Free,Meisels Alkoholfrei Weizen,Maisel’s Non-Alcoholic Wheat,(Flasche),(Bottle),0.5l,5.8
Kaltgetränke,Cold Drinks,Aperetiv mit Alkohol,Aperitif with Alcohol,,,Aperol Bitter,Aperol Bitter,,,0.2l,7.4
Kaltgetränke,Cold Drinks,Aperetiv mit Alkohol,Aperitif with Alcohol,,,Sarti Spritz,Sarti Spritz,,,0.2l,7.4
Kaltgetränke,Cold Drinks,Aperetiv mit Alkohol,Aperitif with Alcohol,,,Lillet,Lillet,Lemon / Wildberry,Lemon / Wildberry,0.2l,7.8
Kaltgetränke,Cold Drinks,Aperetiv mit Alkohol,Aperitif with Alcohol,,,Limoncello Spritz,Limoncello Spritz,,,0.2l,5.2
Kaltgetränke,Cold Drinks,Sekt,Sparkling Wine,,,Mionetto Prosecco Frizzante,Mionetto Prosecco Frizzante,,,0.1l,4.2
Kaltgetränke,Cold Drinks,Sekt,Sparkling Wine,,,Mionetto Prosecco Frizzante,Mionetto Prosecco Frizzante,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Sekt,Sparkling Wine,,,Mionetto Prosecco Frizzante,Mionetto Prosecco Frizzante,,,0.75l,21.9
Kaltgetränke,Cold Drinks,Sekt,Sparkling Wine,,,C. Jung Mousseux Alkoholfrei,C. Jung Non-Alcoholic Sparkling,,,0.2l,5.9
Kaltgetränke,Cold Drinks,Sekt,Sparkling Wine,,,C. Jung Mousseux Alkoholfrei,C. Jung Non-Alcoholic Sparkling,,,0.75l,21.9
Kaltgetränke,Cold Drinks,Meisterbrände,Fine Spirits,,,Genusswerk Sauerland,Genusswerk Sauerland,Kirsche / Marille / Zwetschke / Himbeere,Cherry / Apricot / Plum / Raspberry,2cl,3.9
Kaltgetränke,Cold Drinks,Meisterbrände,Fine Spirits,,,Grevensteiner Bierbrand,Grevensteiner Beer Brandy,,,2cl,5.9
Kaltgetränke,Cold Drinks,Meisterbrände,Fine Spirits,,,Ramazotti Limoncello,Ramazotti Limoncello,,,2cl,3.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Bonjour,Bonjour,"Buttriges Croissant, feinste Konfitüre oder Nutella und Obst","Buttery croissant, fine jam or Nutella, and fruit",—,5.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Klassisch,Classic,"Knuspriges Brötchen, Butter, Belag nach Lust und Laune und ein Heißgetränk nach Wahl","Crispy roll, butter, toppings of choice, and a hot drink of your choice",—,6.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Käse,Cheese,"Frisches Brot, Bergkäse, Brie und Gouda, Joghurt und Granola, Fruchtspiegel","Fresh bread, mountain cheese, brie and gouda, yogurt and granola, fruit mirror",—,12.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Genuss,Delight,"Frisches Brot, Aufschnitt, Käse, Mini-Gurken, Joghurt und Granola","Fresh bread, cold cuts, cheese, mini cucumbers, yogurt, and granola",—,13.2
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Bergwerker,Miner’s Breakfast,"Geröstetes Brot, Butter, Bratkartoffeln, Spiegeleier, Speckstreifen oder Sucuk, eingelegte Mini Gurken, Ketchup (optional mit frisch gezapftem Pils oder Püllecken +1,50€)","Toasted bread, butter, fried potatoes, fried eggs, bacon strips or sucuk, pickled mini cucumbers, ketchup (optional with freshly tapped beer or Püllecken +1.50€)",—,14.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Madame,Madame,"Avocado auf geröstetem Sauerteigbrot, Tomatencreme, Pinienkerne, 2 pochierte Eier oder Rührei (optional vegan), dazu Skyr mit Beeren & Granola (optional mit Sekt +1,00€)","Avocado on toasted sourdough, tomato cream, pine nuts, 2 poached eggs or scrambled eggs (optional vegan), with Skyr, berries & granola (optional with sparkling wine +1.00€)",—,13.9
Frühstück,Breakfast,Frühstücksteller,Breakfast Plates,,,Burrata,Burrata,"Geröstetes Brot, Paprika-Walnuss-Creme, frische & geröstete Tomaten, cremige Burrata, Olive, Pesto","Toasted bread, paprika walnut cream, fresh & roasted tomatoes, creamy burrata, olive, pesto",—,14.9
Frühstück,Breakfast,Doughs,Doughs,,,Tom Tom Bagel,Tom Tom Bagel,"Tomatencreme, frisches Basilikum und Spiegelei auf geröstetem Bagel (optional mit Bacon, Serrano oder Sucuk +3,30€)","Tomato cream, fresh basil and fried egg on toasted bagel (optional with bacon, serrano or sucuk +3.30€)",—,5.4
Frühstück,Breakfast,Doughs,Doughs,,,Pepper & Cream Bagel,Pepper & Cream Bagel,"Frischkäse trifft Paprika & Rucola auf Salz-Pfeffer Bagel (optional mit Bacon, Serrano oder Sucuk +3,30€)","Cream cheese meets paprika & arugula on salt-pepper bagel (optional with bacon, serrano or sucuk +3.30€)",—,5.2
Frühstück,Breakfast,Doughs,Doughs,,,New Yorker Bagel,New Yorker Bagel,"Avocado, Tomatencreme, Rucola, Walnuss und Granatapfel auf geröstetem Bagel","Avocado, tomato cream, arugula, walnut, and pomegranate on toasted bagel",—,6.5
Frühstück,Breakfast,Doughs,Doughs,,,Vital Croissant,Vital Croissant,"Cremiges Rührei, halbe Avocado & knackige Sprossen im fluffigen Croissant (optional mit Bacon, Serrano oder Sucuk +3,30€)","Creamy scrambled eggs, half avocado & crisp sprouts in a fluffy croissant (optional with bacon, serrano or sucuk +3.30€)",—,8.8
Frühstück,Breakfast,Doughs,Doughs,,,Honey Brioche,Honey Brioche,"Warme Pfannen-Brioche, süß & samtig mit Butter, Honig & frischem Obst, Granatapfel und auf Wunsch (optional mit Eis +1,80€)","Warm brioche, sweet & smooth with butter, honey, fresh fruit, pomegranate (optional with ice cream +1.80€)",—,8.8
Frühstück,Breakfast,Eier,Eggs,,,Shakshuka,Shakshuka,"Pfannengericht mit frischen Tomaten, Kräutern, Eier, Paprika, Zwiebel und Chili, dazu frisches Brot (optional mit Rührei)","Pan dish with fresh tomatoes, herbs, eggs, paprika, onion, and chili, served with fresh bread (optional with scrambled eggs)",—,13.8
Frühstück,Breakfast,Eier,Eggs,,,Rührei Klassisch,Classic Scrambled Eggs,Frischem Brot & Butter (optional mit Rührei / Feta),With fresh bread & butter (optional with scrambled eggs / feta),—,5.9
Frühstück,Breakfast,Eier,Eggs,,,Rührei Sucuk,Scrambled Eggs with Sucuk,"Klassisch mit Würzinger Knoblauchwurst, frischem Brot & Butter (optional mit Bacon oder Serrano)","Classic with spicy garlic sausage, fresh bread & butter (optional with bacon or serrano)",—,9.3
Frühstück,Breakfast,Eier,Eggs,,,Gekochtes Ei,Boiled Egg,Basic für jeden Morgen,Basic for every morning,—,1.5
Frühstück,Breakfast,Bowls,Bowls,,,Skyr Bowl,Skyr Bowl,"Cremiger Skyr-Joghurt kombiniert mit Weintrauben, Granatapfel, hausgemachter Granola, Nüsse und Fruchtspiegel","Creamy Skyr yogurt combined with grapes, pomegranate, homemade granola, nuts, and fruit mirror",—,8.9
Frühstück,Breakfast,Bowls,Bowls,,,Sun Bowl,Sun Bowl,"Passionsfrucht trifft auf Granatapfel, Weintrauben, hausgemachte Granola, gepufften Quinoa und Nüsse, abgerundet mit Honig oder Agave","Passion fruit with pomegranate, grapes, homemade granola, puffed quinoa, and nuts, topped with honey or agave",—,14.5
Frühstück,Breakfast,Bowls,Bowls,,,Breakfast Bowl,Breakfast Bowl,"Zart pochierte Eier auf Knoblauch-Joghurt, verfeinert mit Dill, Chilli-Paprika-Butter, geröstetes Brot","Soft poached eggs on garlic yogurt, refined with dill, chili-paprika butter, and toasted bread",—,10.9
Frühstück,Breakfast,Bowls,Bowls,,,Porridge,Porridge,Mit frischem Apfelkompott und Zimt,With fresh apple compote and cinnamon,—,7.9
Frühstück,Breakfast,Kids,Kids,,,Süßer Bärenhunger,Sweet Bear Hunger,"Brot oder Brötchen mit Butter, Nutella oder Marmelade, frisches Obst, dazu Babyccino und eine Eis-Münze für die kleinen Frühstückshelden","Bread or roll with butter, Nutella or jam, fresh fruit, with a babyccino and an ice-coin reward for little breakfast heroes",—,6.9
Frühstück,Breakfast,Kids,Kids,,,Kleiner Raketenstart,Little Rocket Start,"Brötchen oder Brot, Butter, Marmelade, Käse oder Salami, Skyr mit Fruchtspiegel, Babyccino und eine Eis-Münze für das perfekte Frühstücksabenteuer (“Eis-Münze als Belohnung: Das ist der Clou, wer seinen Teller leert, bekommt ein Mini-Eis dazu”)","Bread or roll, butter, jam, cheese or salami, Skyr with fruit mirror, babyccino, and an ice-coin for the perfect breakfast adventure (“Ice-coin reward: those who finish their plate get a mini ice cream”)",—,7.5
Frühstück,Breakfast,Extras,Extras,,,Gouda,Gouda,,,—,0.6
Frühstück,Breakfast,Extras,Extras,,,Feta,Feta,,,—,2.5
Frühstück,Breakfast,Extras,Extras,,,Bacon,Bacon,,,—,3.3
Frühstück,Breakfast,Extras,Extras,,,Sucuk,Sucuk,,,—,3.3
Frühstück,Breakfast,Extras,Extras,,,Lachs,Salmon,,,—,4.9
Frühstück,Breakfast,Extras,Extras,,,Serrano,Serrano Ham,,,—,3.3
Frühstück,Breakfast,Extras,Extras,,,Spiegelei,Fried Egg,,,—,2
Frühstück,Breakfast,Extras,Extras,,,Rührei,Scrambled Eggs,,,—,3.5
Frühstück,Breakfast,Extras,Extras,,,Rührei Vegane,Vegan Scrambled Eggs,,,—,3.5
Frühstück,Breakfast,Extras,Extras,,,Bagel / Croissant,Bagel / Croissant,,,—,2
Frühstück,Breakfast,Extras,Extras,,,Scheibe Brot,Slice of Bread,,,—,1.2
Frühstück,Breakfast,Extras,Extras,,,Nutella,Nutella,,,—,1.5
Frühstück,Breakfast,Extras,Extras,,,Marmelade,Jam,,,—,1.5
Frühstück,Breakfast,Extras,Extras,,,Butter 10g,Butter 10g,,,—,0.7
Nordic Comfort Lunch,Nordic Comfort Lunch,Köttbullar,Meatballs,,,Klassisch,Classic,"Mit Rahmsauce, Kartoffelstampf, Dill-Gurkensalat und Preiselbeeren","With cream sauce, mashed potatoes, dill cucumber salad, and lingonberries",—,15.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Köttbullar,Meatballs,,,Geflügel,Poultry,"Mit Tomat-Paprika-Sauce, Pommes, Frische Gartensalat","With tomato-paprika sauce, fries, and fresh garden salad",—,14.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Salate,Salads,,,Nordic Chicken,Nordic Chicken,"Geröstetes Smørrebrød mit Kräuterschmand, Hähnchenstreifen und frischem Haubensalat, Granatapfel mit Joghurt-Dressing","Toasted smørrebrød with herb sour cream, chicken strips, fresh lettuce, and pomegranate with yogurt dressing",—,13.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Salate,Salads,,,Lachs & Greens,Salmon & Greens,"Blattsalat, Räucherlachs, Apfel, rote Zwiebel mit Honig-Senf-Vinaigrette, dazu geröstetes Sauerteigbrot","Leaf salad, smoked salmon, apple, red onion with honey-mustard vinaigrette, served with toasted sourdough",—,14.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Salate,Salads,,,Klassisch,Classic,"Blattsalat, Microgreens, Gurke, Tomate, Granatapfel mit Balsamico Dressing, dazu geröstetes Sauerteigbrot","Leaf salad, microgreens, cucumber, tomato, pomegranate with balsamic dressing, served with toasted sourdough",—,12.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Nordic Langos,Nordic Langos,,,Klassisch,Classic,"Sauerrahm, Käse, Knoblauchöl","Sour cream, cheese, garlic oil",—,9.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Nordic Langos,Nordic Langos,,,Schinken & Käse,Ham & Cheese,"Sauerrahm, Dänischer Havarti-Käse und Serrano","Sour cream, Danish Havarti cheese, and Serrano",—,13.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Nordic Langos,Nordic Langos,,,Lachs,Salmon,"Räucherlachs, Dill-Crème und Frühlingszwiebel","Smoked salmon, dill cream, and spring onion",—,14.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Nordic Langos,Nordic Langos,,,SøD,Sweet,"Zimt & Puderzucker (optional mit Bacon oder Serrano +1,50€)",Cinnamon & powdered sugar (optional with bacon or serrano +1.50€),—,5.5
Nordic Comfort Lunch,Nordic Comfort Lunch,Suppe,Soup,,,Tomatensuppe,Tomato Soup,Tomatensuppe dazu geröstetes Sauerteigbrot,Tomato soup served with toasted sourdough,—,8.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Suppe,Soup,,,Karotte-Ingwersuppe,Carrot Ginger Soup,Karotten-Ingwersuppe dazu geröstetes Sauerteigbrot,Carrot-ginger soup served with toasted sourdough,—,8.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Pommes,Fries,,,—,3.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Kartoffelschiffchen,Potato Boats,,,—,4.4
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Süßkartoffel-Pommes,Sweet Potato Fries,,,—,5.1
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Ofenkartoffel m. Sour,Baked Potato with Sour Cream,,,—,5.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Fish & Chips,Fish & Chips,Knusprige Fischfilet-Bites und Pommes mit Dill-Remoulade,Crispy fish filet bites and fries with dill remoulade,—,9.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Laugen-Bites,Pretzel Bites,"(optional mit wahlweise Käsesauce, Schokosauce oder Karamellsauce +1,00€)","(optional with cheese sauce, chocolate sauce, or caramel sauce +1.00€)",6er,3.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Snacks,Snacks,,,Laugen-Bites,Pretzel Bites,"(optional mit wahlweise Käsesauce, Schokosauce oder Karamellsauce +1,00€)","(optional with cheese sauce, chocolate sauce, or caramel sauce +1.00€)",9er,4.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Ketchup,Ketchup,,,—,1.5
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Mayonnaise,Mayonnaise,,,—,1.5
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Sour Cream,Sour Cream,,,—,2.5
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Käsesauce,Cheese Sauce,,,—,2.5
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Schokosauce,Chocolate Sauce,,,—,1
Nordic Comfort Lunch,Nordic Comfort Lunch,Saucen,Sauces,,,Karamellsauce,Caramel Sauce,,,—,1
Nordic Comfort Lunch,Nordic Comfort Lunch,Kids,Kids,,,Mini Bullar,Mini Meatballs,Fleischbällchen mit Kartoffelstampf & Preiselbeeren,Meatballs with mashed potatoes & lingonberries,—,6.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Kids,Kids,,,Fish Bites,Fish Bites,Knusprige Fischfiletstücke mit Pommes & Gurkensticks,Crispy fish fillet pieces with fries & cucumber sticks,—,6.9
Nordic Comfort Lunch,Nordic Comfort Lunch,Kids,Kids,,,Mini Langos,Mini Langos,Zimt & Puderzucker,Cinnamon & powdered sugar,—,3.3
